Change_Gpdh	Change_Ldh	Change_Gpdh_Ldh	count	percent
downregulated	downregulated	downregulated	1	0.009
downregulated	downregulated	unchanged	5	0.046
downregulated	unchanged	downregulated	77	0.707
downregulated	unchanged	unchanged	307	2.819
downregulated	unchanged	upregulated	66	0.606
downregulated	upregulated	downregulated	4	0.037
downregulated	upregulated	unchanged	6	0.055
unchanged	downregulated	downregulated	2	0.018
unchanged	downregulated	unchanged	9	0.083
unchanged	downregulated	upregulated	3	0.028
unchanged	unchanged	downregulated	259	2.378
unchanged	unchanged	unchanged	9234	84.778
unchanged	unchanged	upregulated	427	3.92
unchanged	upregulated	downregulated	7	0.064
unchanged	upregulated	unchanged	52	0.477
unchanged	upregulated	upregulated	33	0.303
upregulated	downregulated	unchanged	2	0.018
upregulated	downregulated	upregulated	10	0.092
upregulated	unchanged	downregulated	10	0.092
upregulated	unchanged	unchanged	146	1.34
upregulated	unchanged	upregulated	192	1.763
upregulated	upregulated	unchanged	5	0.046
upregulated	upregulated	upregulated	35	0.321
